Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Taysom Hill,W (Dec 30),1,6,27.58,61%,22,9,232,2,0,14,83,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Mullens,W (Dec 30),1,11,26.64,6%,28,12,316,3,2,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Goff,W (Dec 30),1,9,26.14,72%,10,13,351,1,0,4,1,1,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Darnold,W (Dec 30),1,10,24.04,8%,23,17,186,2,1,3,26,1,0,0,0,0,0,1,2,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Tua Tagovailoa,W (Dec 30),1,7,18.14,21%,25,30,296,1,0,3,3,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Smith,W (Dec 30),1,8,17.84,6%,44,33,296,1,0,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Trubisky,W (Dec 30),1,11,15.28,13%,20,52,267,1,0,3,6,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Lock,W (Dec 30),1,5,14.94,11%,29,55,151,2,2,2,9,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Glennon,W (Dec 30),1,8,14.10,3%,27,61,280,1,2,3,9,0,0,0,0,0,0,1,1,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hurts,W (Dec 30),1,9,11.26,3%,313,89,109,1,1,5,29,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Allen,W (Dec 30),1,9,10.42,1%,62,97,153,1,1,2,3,0,1,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Colt McCoy,W (Dec 30),1,11,10.40,1%,47,98,105,1,1,2,2,0,0,0,0,0,0,1,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett Stidham,W (Dec 30),1,5,8.24,0%,930,128,61,1,0,2,-2,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,W (Dec 30),1,7,0.10,0%,629,329,0,0,0,2,1,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole McDonald,W (Dec 30),0.0,4,0.00,0%,435,364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Case Cookus,W (Dec 30),0.0,11,0.00,0%,489,421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
