Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Jalen Hurts,W (Dec 30),1,9,23.27,66%,11,11,205.0,1.3,0.8,9.8,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.3,0.4,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Trubisky,W (Dec 30),1,11,21.32,17%,15,15,269.0,1.7,0.8,3.4,14.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,W (Dec 30),1,13,19.85,30%,23,23,259.0,1.7,0.9,3.5,11.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Lock,W (Dec 30),1,5,19.82,12%,24,24,251.0,1.6,0.9,3.3,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.2,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tua Tagovailoa,W (Dec 30),1,7,18.88,22%,25,25,260.0,1.4,0.7,3.9,10.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Darnold,W (Dec 30),1,10,17.61,8%,28,28,230.0,1.4,0.9,3.3,7.7,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.3,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Beathard,W (Dec 30),1,11,17.31,1%,29,29,244.0,1.4,1.0,3.8,13.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Glennon,W (Dec 30),1,8,17.1,2%,30,30,246.0,1.4,1.1,2.6,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Allen,W (Dec 30),1,9,13.1,1%,41,41,182.0,1.1,1.0,3.0,10.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taysom Hill,W (Dec 30),1,6,2.2,36%,319,319,12.3,0.0,0.0,6.7,13.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Goff,W (Dec 30),1,9,0.25,72%,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Finley,W (Dec 30),1,9,0.03,0%,386,386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easton Stick,W (Dec 30),1,6,0.0,0%,951,951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Anderson,W (Dec 30),0,8,0.0,0%,989,989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Browning,W (Dec 30),0,7,0.0,0%,982,982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trace McSorley,W (Dec 30),1,7,0.0,1%,958,958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gardner Minshew II,W (Dec 30),1,8,0.0,11%,955,955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
