,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
0,QB,Deshaun Watson,8,27.42,23.12,373,2,0,6,25,0,0.0,0.0,0.0,0.0,0.0,0.0,1,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WR,Jarvis Landry,9,12.1,8.49,0.0,0.0,0.0,0.0,0.0,0.0,8,7,61,1,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WR,Cole Beasley,11,11.2,8.09,0.0,0.0,0.0,0.0,0.0,0.0,10,8,112,0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WR,Michael Pittman Jr.,7,1.9,6.96,0.0,0.0,0.0,0.0,0.0,0.0,3,2,19,0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,RB,Alvin Kamara,6,15.4,15.45,0.0,0.0,0.0,11,54,0,6,3,40,1,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,RB,James Conner,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TE,Tyler Higbee,9,12.7,4.74,0.0,0.0,0.0,0.0,0.0,0.0,5,4,67,1,0.0,0.0,0.0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,BN,Mike Gesicki,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,BN,Brandin Cooks,8,5.9,9.05,0.0,0.0,0.0,0.0,0.0,0.0,7,6,59,0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,BN,Darrell Henderson Jr.,9,0.3,4.7,0.0,0.0,0.0,1,-2,0,1,1,5,0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BN,Justin Herbert,6,31.96,22.24,314,2,0,4,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BN,Ryan Tannehill,4,43.02,23.59,273,3,0,3,21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,BN,Jordan Howard,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,BN,Tony Pollard,10,25.2,11.3,0.0,0.0,0.0,12,69,2,9,6,63,0,0,0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,K,Mason Crosby,5,8.0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,K,3,Ryan Cunningham,0,0,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,DEF,Seattle,6,9.0,8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,3,Ryan Cunningham,0,0,0,0,0,0,15.0,4.0,0.0,2.0,0.0,0.0,0.0
16,QB,Lamar Jackson,7,35.22,26.84,243,3,1,10,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,WR,Marvin Jones Jr.,5,17.2,8.92,0.0,0.0,0.0,0.0,0.0,0.0,12,10,112,1,0.0,0.0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,WR,Cooper Kupp,9,3.9,10.56,0.0,0.0,0.0,0.0,0.0,0.0,5,5,39,0,0.0,0.0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,WR,DeAndre Hopkins,8,21.0,12.76,0.0,0.0,0.0,1,1,0,11,9,169,1,0.0,0.0,1,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,RB,Devin Singletary,11,14.4,6.7,0.0,0.0,0.0,8,68,1,3,3,16,0,0.0,0.0,0.0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,RB,Kenyan Drake,8,4.0,12.04,0.0,0.0,0.0,10,26,0,2,2,14,0,0.0,0.0,0.0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,TE,Jared Cook,6,2.9,5.56,0.0,0.0,0.0,0.0,0.0,0.0,5,2,29,0,0.0,0.0,0.0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,BN,Austin Hooper,9,10.1,4.15,0.0,0.0,0.0,0.0,0.0,0.0,6,5,41,1,0.0,0.0,0.0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,BN,Ronald Jones II,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,BN,Baker Mayfield,9,24.98,20.56,297,2,0,4,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,BN,Mike Williams,6,2.2,5.56,0.0,0.0,0.0,0.0,0.0,0.0,2,2,22,0,0.0,0.0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,BN,Jason Witten,6,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,BN,Boston Scott,9,0.7,2.87,0.0,0.0,0.0,0.0,0.0,0.0,1,1,7,0,0,0,0.0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,K,Michael Badgley,6,6.0,8.09,0,0,0,0,0,0,0,0,0,0,0,0,0,K,8,Nicholas Saunders,0,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,DEF,Buffalo,11,12.0,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,8,Nicholas Saunders,0,0,0,0,0,0,19.0,3.0,0.0,0.0,1.0,1.0,0.0
