,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Unnamed: 22_level_1,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Unnamed: 14_level_1,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick,Unnamed: 15_level_1,Unnamed: 20_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
0,QB,Ryan Tannehill,7.0,11.74,21.43,321,0,1,4,9,0,1,1,0,0,0,0,0,0.0,QB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WR,Odell Beckham Jr.,9.0,5.9,11.1,0,0,0,0,0,0,6,4,59,0,0,0,0,0.0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WR,Jarvis Landry,9.0,3.6,8.18,0,0,0,0,0,0,4,4,36,0,0,0,0,0.0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WR,John Brown,11.0,0.0,8.63,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,RB,Alvin Kamara,6.0,31.7,17.31,0,0,0,6,58,0,14,13,139,2,0,0,0,0.0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,RB,James Conner,8.0,20.9,14.14,0,0,0,18,109,1,5,4,40,0,0,0,0,0.0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TE,Mike Gesicki,11.0,7.5,7.5,0,0,0,0,0,0,3,1,15,1,0,0,0,0.0,TE,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,BN,Deshaun Watson,8.0,21.06,22.39,264,2,1,1,5,0,0,0,0,0,0,0,0,0.0,QB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,BN,DeVante Parker,11.0,6.9,10.79,0,0,0,0,0,0,5,5,69,0,0,0,0,0.0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,BN,Jordan Howard,11.0,6.1,4.59,0,0,0,3,1,1,0,0,0,0,0,0,0,0.0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BN,Darrell Henderson Jr.,9.0,18.0,10.2,0,0,0,20,114,1,3,1,6,0,0,0,0,0.0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BN,Tyler Eifert,7.0,1.1,6.03,0,0,0,0,0,0,3,2,11,0,0,0,0,0.0,TE,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,BN,Tony Pollard,10.0,-0.5,3.92,0,0,0,0,0,0,1,1,-5,0,0,0,0,0.0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
